Lap,TotalLaps,Stint,Compound,TyreAge,PitProb,PitPred,PitThisLap,IsFinalLaps,IsLastStint,CompPred,CompActual,UnderCaution,DataAvailable,MissingReason
1,71,1,MEDIUM,1,,0,0,False,False,,,0,False,No data
2,71,1,MEDIUM,2,0.6056762337684631,0,0,False,False,,,0,True,
3,71,1,MEDIUM,3,0.06560913473367691,0,0,False,False,,,0,True,
4,71,1,MEDIUM,4,0.1978646069765091,0,0,False,False,,,0,True,
5,71,1,MEDIUM,5,0.01643340289592743,0,0,False,False,,,0,True,
6,71,1,MEDIUM,6,0.029563235118985176,0,0,False,False,,,0,True,
7,71,1,MEDIUM,7,0.005169787909835577,0,0,False,False,,,0,True,
8,71,1,MEDIUM,8,0.00346101145260036,0,0,False,False,,,0,True,
9,71,1,MEDIUM,9,0.0020516894292086363,0,0,False,False,,,0,True,
10,71,1,MEDIUM,10,0.002580990083515644,0,0,False,False,,,0,True,
11,71,1,MEDIUM,11,0.002422825898975134,0,0,False,False,,,0,True,
12,71,1,MEDIUM,12,0.0025702507700771093,0,0,False,False,,,0,True,
13,71,1,MEDIUM,13,0.0025369133800268173,0,0,False,False,,,0,True,
14,71,1,MEDIUM,14,0.003956643398851156,0,0,False,False,,,0,True,
15,71,1,MEDIUM,15,0.006281298119574785,0,0,False,False,,,0,True,
16,71,1,MEDIUM,16,0.035612672567367554,0,0,False,False,,,0,True,
17,71,1,MEDIUM,17,0.03303661569952965,0,0,False,False,,,0,True,
18,71,1,MEDIUM,18,0.043198756873607635,0,0,False,False,,,0,True,
19,71,1,MEDIUM,19,0.21661962568759918,0,0,False,False,,,0,True,
20,71,1,MEDIUM,20,0.054743677377700806,0,0,False,False,,,0,True,
21,71,1,MEDIUM,21,0.04610375687479973,0,0,False,False,,,0,True,
22,71,1,MEDIUM,22,0.08695340901613235,0,0,False,False,,,0,True,
23,71,1,MEDIUM,23,0.26782411336898804,0,0,False,False,,,0,True,
24,71,1,MEDIUM,24,0.7899500131607056,1,0,False,False,,,0,True,
25,71,1,MEDIUM,25,0.8417057394981384,1,0,False,False,,,0,True,
26,71,1,MEDIUM,26,0.7975407838821411,1,0,False,False,,,0,True,
27,71,1,MEDIUM,27,0.8235095143318176,1,0,False,False,,,0,True,
28,71,2,HARD,1,,0,1,False,False,HARD,HARD,0,False,Pit/Outlap
29,71,2,HARD,2,,0,0,False,False,,,0,False,No data
30,71,2,HARD,2,0.6056762337684631,0,0,False,False,,,0,True,
31,71,2,HARD,3,0.16300131380558014,0,0,False,False,,,0,True,
32,71,2,HARD,4,0.08893803507089615,0,0,False,False,,,0,True,
33,71,2,HARD,5,0.03141239657998085,0,0,False,False,,,0,True,
34,71,2,HARD,6,0.0254393108189106,0,0,False,False,,,0,True,
35,71,2,HARD,7,0.007449624594300985,0,0,False,False,,,0,True,
36,71,2,HARD,8,0.007274930831044912,0,0,False,False,,,0,True,
37,71,2,HARD,9,0.0049889786168932915,0,0,False,False,,,0,True,
38,71,2,HARD,10,0.006995996460318565,0,0,False,False,,,0,True,
39,71,2,HARD,11,0.004865976516157389,0,0,False,False,,,0,True,
40,71,2,HARD,12,0.008938279934227467,0,0,False,False,,,0,True,
41,71,2,HARD,13,0.03541257232427597,0,0,False,False,,,0,True,
42,71,2,HARD,14,0.08013114333152771,0,0,False,False,,,0,True,
43,71,2,HARD,15,0.1760432869195938,0,0,False,False,,,0,True,
44,71,2,HARD,16,0.7291496396064758,1,0,False,False,,,0,True,
45,71,2,HARD,17,0.8105854988098145,1,0,False,False,,,0,True,
46,71,2,HARD,18,0.7923040986061096,1,0,False,False,,,0,True,
47,71,2,HARD,19,0.7656738758087158,1,0,False,False,,,0,True,
48,71,2,HARD,20,0.7441182136535645,1,0,False,False,,,0,True,
49,71,2,HARD,21,0.8115817904472351,1,0,False,False,,,0,True,
50,71,2,HARD,22,0.7292824983596802,1,0,False,False,,,0,True,
51,71,3,MEDIUM,1,,0,1,False,True,HARD,MEDIUM,0,False,Pit/Outlap
52,71,3,MEDIUM,2,,0,0,False,True,,,0,False,No data
53,71,3,MEDIUM,0,0.6056762337684631,0,0,False,True,,,0,True,
54,71,3,MEDIUM,0,0.11498091369867325,0,0,False,True,,,0,True,
55,71,3,MEDIUM,0,0.03962668776512146,0,0,False,True,,,0,True,
56,71,3,MEDIUM,0,0.04821232333779335,0,0,False,True,,,0,True,
60,71,3,MEDIUM,0,0.22148527204990387,0,0,False,True,,,1,True,
61,71,3,MEDIUM,0,0.09338778257369995,0,0,False,True,,,1,True,
62,71,3,MEDIUM,0,0.1353311389684677,0,0,False,True,,,1,True,
63,71,3,MEDIUM,0,0.0424947515130043,0,0,False,True,,,1,True,
64,71,3,MEDIUM,0,0.027355046942830086,0,0,False,True,,,1,True,
65,71,3,MEDIUM,0,0.014248615130782127,0,0,False,True,,,1,True,
66,71,3,MEDIUM,0,0.016297899186611176,0,0,False,True,,,1,True,
67,71,3,MEDIUM,0,0.05424749106168747,0,0,False,True,,,1,True,
68,71,3,MEDIUM,0,0.24348361790180206,0,0,False,True,,,1,True,
69,71,3,MEDIUM,0,0.7371764183044434,1,0,True,True,,,1,True,
70,71,3,MEDIUM,0,0.9850364923477173,1,0,True,True,,,0,True,
71,71,3,MEDIUM,0,0.9770437479019165,1,0,True,True,,,1,True,
