Lap,TotalLaps,Stint,Compound,TyreAge,PitProb,PitPred,PitThisLap,IsFinalLaps,IsLastStint,CompPred,CompActual,UnderCaution,DataAvailable,MissingReason
1,72,1,MEDIUM,1,,0,0,False,False,,,0,False,No data
2,72,1,MEDIUM,2,0.6056762337684631,0,0,False,False,,,0,True,
3,72,1,MEDIUM,3,0.3771657645702362,0,0,False,False,,,0,True,
4,72,1,MEDIUM,4,0.22896909713745117,0,0,False,False,,,0,True,
5,72,1,MEDIUM,5,0.21699321269989014,0,0,False,False,,,0,True,
6,72,1,MEDIUM,6,0.0818365216255188,0,0,False,False,,,0,True,
7,72,1,MEDIUM,7,0.07638449966907501,0,0,False,False,,,0,True,
8,72,1,MEDIUM,8,0.08011588454246521,0,0,False,False,,,0,True,
9,72,1,MEDIUM,9,0.06392748653888702,0,0,False,False,,,0,True,
10,72,1,MEDIUM,10,0.0628470852971077,0,0,False,False,,,0,True,
11,72,1,MEDIUM,11,0.0545988455414772,0,0,False,False,,,0,True,
12,72,1,MEDIUM,12,0.05849209800362587,0,0,False,False,,,0,True,
13,72,1,MEDIUM,13,0.06112685799598694,0,0,False,False,,,0,True,
14,72,1,MEDIUM,14,0.10961205512285233,0,0,False,False,,,0,True,
15,72,1,MEDIUM,15,0.16614198684692383,0,0,False,False,,,0,True,
16,72,1,MEDIUM,16,0.22129853069782257,0,0,False,False,,,0,True,
17,72,1,MEDIUM,17,0.25890299677848816,0,0,False,False,,,0,True,
18,72,1,MEDIUM,18,0.31740719079971313,0,0,False,False,,,0,True,
19,72,1,MEDIUM,19,0.4742278456687927,0,0,False,False,,,0,True,
20,72,1,MEDIUM,20,0.44577690958976746,0,0,False,False,,,0,True,
21,72,1,MEDIUM,21,0.6105310320854187,0,0,False,False,,,0,True,
22,72,1,MEDIUM,22,0.6221786141395569,0,0,False,False,,,0,True,
23,72,1,MEDIUM,23,0.6897599101066589,1,0,False,False,,,0,True,
24,72,1,MEDIUM,24,0.8207394480705261,1,0,False,False,,,0,True,
25,72,1,MEDIUM,25,0.765803873538971,1,0,False,False,,,0,True,
26,72,1,MEDIUM,26,0.8845995664596558,1,0,False,False,,,0,True,
27,72,2,HARD,1,,0,1,False,True,HARD,HARD,0,False,Pit/Outlap
28,72,2,HARD,2,,0,0,False,True,,,0,False,No data
29,72,2,HARD,2,0.6056762337684631,0,0,False,True,,,0,True,
30,72,2,HARD,3,0.22114424407482147,0,0,False,True,,,0,True,
31,72,2,HARD,4,0.0972159132361412,0,0,False,True,,,0,True,
32,72,2,HARD,5,0.05969028174877167,0,0,False,True,,,0,True,
33,72,2,HARD,6,0.0545894056558609,0,0,False,True,,,0,True,
34,72,2,HARD,7,0.026614828035235405,0,0,False,True,,,0,True,
35,72,2,HARD,8,0.026455406099557877,0,0,False,True,,,0,True,
36,72,2,HARD,9,0.010976812802255154,0,0,False,True,,,0,True,
37,72,2,HARD,10,0.011540338397026062,0,0,False,True,,,0,True,
38,72,2,HARD,11,0.008547570556402206,0,0,False,True,,,0,True,
39,72,2,HARD,12,0.007155643310397863,0,0,False,True,,,0,True,
40,72,2,HARD,13,0.012312628328800201,0,0,False,True,,,0,True,
41,72,2,HARD,14,0.005969630088657141,0,0,False,True,,,0,True,
42,72,2,HARD,15,0.009593581780791283,0,0,False,True,,,0,True,
43,72,2,HARD,16,0.031510550528764725,0,0,False,True,,,0,True,
44,72,2,HARD,17,0.20428112149238586,0,0,False,True,,,0,True,
45,72,2,HARD,18,0.31467676162719727,0,0,False,True,,,0,True,
46,72,2,HARD,19,0.2881641983985901,0,0,False,True,,,0,True,
47,72,2,HARD,20,0.31597641110420227,0,0,False,True,,,0,True,
48,72,2,HARD,21,0.49312084913253784,0,0,False,True,,,0,True,
49,72,2,HARD,22,0.45967572927474976,0,0,False,True,,,0,True,
50,72,2,HARD,23,0.4426959156990051,0,0,False,True,,,0,True,
51,72,2,HARD,24,0.44365596771240234,0,0,False,True,,,0,True,
52,72,2,HARD,25,0.3798936605453491,0,0,False,True,,,0,True,
53,72,2,HARD,26,0.1647588014602661,0,0,False,True,,,0,True,
54,72,2,HARD,27,0.012784631922841072,0,0,False,True,,,0,True,
55,72,2,HARD,28,0.017320072278380394,0,0,False,True,,,0,True,
56,72,2,HARD,29,0.0084730489179492,0,0,False,True,,,0,True,
57,72,2,HARD,30,0.012873179279267788,0,0,False,True,,,0,True,
58,72,2,HARD,31,0.013092893175780773,0,0,False,True,,,0,True,
59,72,2,HARD,32,0.010316865518689156,0,0,False,True,,,0,True,
60,72,2,HARD,33,0.009265272878110409,0,0,False,True,,,0,True,
61,72,2,HARD,34,0.01045682281255722,0,0,False,True,,,0,True,
62,72,2,HARD,35,0.015295405872166157,0,0,False,True,,,0,True,
63,72,2,HARD,36,0.0204163771122694,0,0,False,True,,,0,True,
64,72,2,HARD,37,0.03337552398443222,0,0,False,True,,,0,True,
65,72,2,HARD,38,0.061909597367048264,0,0,False,True,,,0,True,
66,72,2,HARD,39,0.24331869184970856,0,0,False,True,,,0,True,
67,72,2,HARD,40,0.4691644310951233,0,0,False,True,,,0,True,
68,72,2,HARD,41,0.7017518281936646,1,0,False,True,,,0,True,
69,72,2,HARD,42,0.9416577219963074,1,0,False,True,,,0,True,
70,72,2,HARD,43,0.9931042194366455,1,0,True,True,,,0,True,
71,72,2,HARD,44,0.9989896416664124,1,0,True,True,,,0,True,
72,72,2,HARD,45,0.9992182850837708,1,0,True,True,,,0,True,
