Lap,TotalLaps,Stint,Compound,TyreAge,PitProb,PitPred,PitThisLap,IsFinalLaps,IsLastStint,CompPred,CompActual,UnderCaution,DataAvailable,MissingReason
1,70,1,MEDIUM,1,,0,0,False,False,,,0,False,No data
2,70,1,MEDIUM,2,,0,0,False,False,,,0,False,No data
3,70,1,MEDIUM,3,,0,0,False,False,,,0,False,No data
4,70,1,MEDIUM,4,0.6056762337684631,0,0,False,False,,,1,True,
5,70,1,MEDIUM,5,0.1399029791355133,0,0,False,False,,,0,True,
6,70,1,MEDIUM,6,0.05954635515809059,0,0,False,False,,,1,True,
7,70,1,MEDIUM,7,0.0892963856458664,0,0,False,False,,,1,True,
8,70,1,MEDIUM,8,0.11052575707435608,0,0,False,False,,,0,True,
9,70,1,MEDIUM,9,0.23660418391227722,0,0,False,False,,,1,True,
10,70,1,MEDIUM,10,0.36075177788734436,0,0,False,False,,,1,True,
11,70,1,MEDIUM,11,0.4909195899963379,0,0,False,False,,,0,True,
12,70,1,MEDIUM,12,0.7309615612030029,1,0,False,False,,,0,True,
13,70,1,MEDIUM,13,0.5270319581031799,0,0,False,False,,,0,True,
14,70,1,MEDIUM,14,0.52623051404953,0,0,False,False,,,0,True,
15,70,1,MEDIUM,15,0.5654355883598328,0,0,False,False,,,1,True,
16,70,1,MEDIUM,16,0.6390780210494995,0,0,False,False,,,1,True,
17,70,1,MEDIUM,17,0.7104254364967346,1,0,False,False,,,1,True,
18,70,1,MEDIUM,18,0.7114959359169006,1,0,False,False,,,1,True,
19,70,1,MEDIUM,19,0.6912031173706055,1,0,False,False,,,0,True,
20,70,2,HARD,1,,0,1,False,False,HARD,HARD,0,False,Pit/Outlap
21,70,2,HARD,2,,0,0,False,False,,,0,False,No data
22,70,2,HARD,2,0.6056762337684631,0,0,False,False,,,0,True,
23,70,2,HARD,3,0.15200480818748474,0,0,False,False,,,0,True,
24,70,2,HARD,4,0.03202833980321884,0,0,False,False,,,0,True,
25,70,2,HARD,5,0.022937694564461708,0,0,False,False,,,0,True,
26,70,2,HARD,6,0.019898485392332077,0,0,False,False,,,0,True,
27,70,2,HARD,7,0.008871871046721935,0,0,False,False,,,0,True,
28,70,2,HARD,8,0.005822848528623581,0,0,False,False,,,0,True,
29,70,2,HARD,9,0.0048064556904137135,0,0,False,False,,,1,True,
30,70,2,HARD,10,0.0037058338057249784,0,0,False,False,,,1,True,
31,70,2,HARD,11,0.0028739541303366423,0,0,False,False,,,1,True,
32,70,2,HARD,12,0.002563480054959655,0,0,False,False,,,1,True,
33,70,2,HARD,13,0.003193069016560912,0,0,False,False,,,1,True,
34,70,2,HARD,14,0.0033499423880130053,0,0,False,False,,,0,True,
35,70,2,HARD,15,0.003875832771882415,0,0,False,False,,,0,True,
36,70,2,HARD,16,0.013039500452578068,0,0,False,False,,,0,True,
37,70,2,HARD,17,0.027343014255166054,0,0,False,False,,,0,True,
38,70,2,HARD,18,0.006042330525815487,0,0,False,False,,,0,True,
39,70,2,HARD,19,0.006511453073471785,0,0,False,False,,,0,True,
40,70,2,HARD,20,0.016720257699489594,0,0,False,False,,,1,True,
41,70,2,HARD,21,0.15789669752120972,0,0,False,False,,,1,True,
42,70,2,HARD,22,0.5576304197311401,0,0,False,False,,,0,True,
43,70,2,HARD,23,0.7131351232528687,1,0,False,False,,,1,True,
44,70,2,HARD,24,0.7334617972373962,1,0,False,False,,,0,True,
45,70,2,HARD,25,0.7917605638504028,1,0,False,False,,,0,True,
46,70,2,HARD,26,0.9143922924995422,1,0,False,False,,,1,True,
47,70,2,HARD,27,0.8196688294410706,1,0,False,False,,,1,True,
48,70,2,HARD,28,0.8443968296051025,1,0,False,False,,,1,True,
49,70,2,HARD,29,0.8576213717460632,1,0,False,False,,,1,True,
50,70,2,HARD,30,0.7900907397270203,1,0,False,False,,,0,True,
51,70,2,HARD,31,0.79832524061203,1,0,False,False,,,1,True,
52,70,3,MEDIUM,1,,0,1,False,True,HARD,MEDIUM,0,False,Pit/Outlap
53,70,3,MEDIUM,2,,0,0,False,True,,,0,False,No data
54,70,3,MEDIUM,2,0.6056762337684631,0,0,False,True,,,1,True,
55,70,3,MEDIUM,3,0.2630041539669037,0,0,False,True,,,1,True,
56,70,3,MEDIUM,4,0.02048267424106598,0,0,False,True,,,1,True,
57,70,3,MEDIUM,5,0.024798668920993805,0,0,False,True,,,1,True,
58,70,3,MEDIUM,6,0.010828148573637009,0,0,False,True,,,1,True,
59,70,3,MEDIUM,7,0.007622075267136097,0,0,False,True,,,1,True,
60,70,3,MEDIUM,8,0.005603047087788582,0,0,False,True,,,1,True,
61,70,3,MEDIUM,9,0.007172571029514074,0,0,False,True,,,1,True,
62,70,3,MEDIUM,10,0.008247478865087032,0,0,False,True,,,1,True,
63,70,3,MEDIUM,11,0.01181422732770443,0,0,False,True,,,1,True,
64,70,3,MEDIUM,12,0.014290710911154747,0,0,False,True,,,1,True,
65,70,3,MEDIUM,13,0.038062162697315216,0,0,False,True,,,1,True,
66,70,3,MEDIUM,14,0.7809903025627136,1,0,False,True,,,1,True,
67,70,3,MEDIUM,15,0.9544740319252014,1,0,False,True,,,1,True,
68,70,3,MEDIUM,16,0.9934436678886414,1,0,True,True,,,1,True,
69,70,3,MEDIUM,17,0.9980558156967163,1,0,True,True,,,1,True,
70,70,3,MEDIUM,18,0.998838484287262,1,0,True,True,,,1,True,
