Lap,TotalLaps,Stint,Compound,TyreAge,PitProb,PitPred,PitThisLap,IsLastStint,CompPred,CompActual,UnderCaution,DataAvailable,MissingReason
2,57,1,HARD,2,0.25702306628227234,0,0,False,INTERMEDIATE,HARD,0,True,
7,57,1,HARD,7,0.20675702393054962,0,0,False,MEDIUM,HARD,0,True,
8,57,1,HARD,8,0.050386007875204086,0,0,False,MEDIUM,HARD,0,True,
9,57,1,HARD,9,0.0199931301176548,0,0,False,MEDIUM,HARD,1,True,
10,57,1,HARD,10,0.01281267125159502,0,0,False,MEDIUM,HARD,0,True,
11,57,1,HARD,11,0.012793119996786118,0,0,False,MEDIUM,HARD,1,True,
12,57,1,HARD,12,0.012355263344943523,0,0,False,MEDIUM,HARD,0,True,
13,57,1,HARD,13,0.020957594737410545,0,0,False,MEDIUM,HARD,1,True,
14,57,1,HARD,14,0.02486259862780571,0,0,False,MEDIUM,HARD,0,True,
15,57,1,HARD,15,0.07069383561611176,0,0,False,MEDIUM,HARD,0,True,
16,57,1,HARD,16,0.10452185571193695,0,0,False,MEDIUM,HARD,0,True,
17,57,1,HARD,17,0.23419684171676636,0,0,False,MEDIUM,HARD,1,True,
18,57,1,HARD,18,0.3299465477466583,0,0,False,MEDIUM,HARD,0,True,
19,57,1,HARD,19,0.40166714787483215,0,0,False,MEDIUM,HARD,0,True,
20,57,1,HARD,20,0.38853082060813904,0,0,False,MEDIUM,HARD,0,True,
21,57,1,HARD,21,0.3717228174209595,0,0,False,MEDIUM,HARD,0,True,
22,57,1,HARD,22,0.3462887108325958,0,0,False,MEDIUM,HARD,0,True,
27,57,1,HARD,27,0.31677600741386414,0,0,False,MEDIUM,HARD,0,True,
28,57,1,HARD,28,0.30309173464775085,0,0,False,MEDIUM,HARD,1,True,
29,57,1,HARD,29,0.2895689308643341,0,0,False,MEDIUM,HARD,0,True,
30,57,1,HARD,30,0.2728036344051361,0,0,False,MEDIUM,HARD,0,True,
31,57,1,HARD,31,0.26963475346565247,0,0,False,MEDIUM,HARD,0,True,
32,57,1,HARD,32,0.3471614420413971,0,0,False,MEDIUM,HARD,0,True,
33,57,1,HARD,33,0.4268133342266083,0,0,False,MEDIUM,HARD,0,True,
34,57,1,HARD,34,0.6029161214828491,0,0,False,MEDIUM,HARD,0,True,
35,57,1,HARD,35,0.6260980367660522,0,0,False,MEDIUM,HARD,0,True,
36,57,1,HARD,36,0.8102108240127563,0,0,False,MEDIUM,HARD,0,True,
37,57,1,HARD,37,0.8143414855003357,0,1,False,MEDIUM,HARD,0,True,
38,57,1,HARD,38,0.7855777740478516,0,0,False,MEDIUM,HARD,0,True,
41,57,2,MEDIUM,2,0.25702306628227234,0,0,False,MEDIUM,MEDIUM,0,True,
42,57,2,MEDIUM,3,0.2345820665359497,0,0,False,HARD,MEDIUM,0,True,
43,57,2,MEDIUM,4,0.09972333163022995,0,0,False,MEDIUM,MEDIUM,1,True,
44,57,2,MEDIUM,5,0.12231788784265518,0,0,False,MEDIUM,MEDIUM,1,True,
45,57,2,MEDIUM,6,0.1650388091802597,0,0,False,MEDIUM,MEDIUM,0,True,
46,57,2,MEDIUM,7,0.40538862347602844,0,0,False,MEDIUM,MEDIUM,0,True,
47,57,2,MEDIUM,8,0.5322049856185913,0,0,False,MEDIUM,MEDIUM,0,True,
48,57,2,MEDIUM,9,0.6486939191818237,0,0,False,MEDIUM,MEDIUM,0,True,
49,57,2,MEDIUM,10,0.8107293844223022,0,0,False,MEDIUM,MEDIUM,0,True,
50,57,2,MEDIUM,11,0.8573241233825684,0,0,False,MEDIUM,MEDIUM,0,True,
51,57,2,MEDIUM,12,0.8782172799110413,0,1,False,MEDIUM,MEDIUM,0,True,
52,57,2,MEDIUM,13,0.9236080646514893,0,0,False,MEDIUM,MEDIUM,1,True,
55,57,3,MEDIUM,2,0.25702306628227234,0,0,True,MEDIUM,MEDIUM,1,True,
56,57,3,MEDIUM,3,0.8931207060813904,0,0,True,MEDIUM,MEDIUM,1,True,
57,57,3,MEDIUM,4,0.9722707867622375,1,0,True,MEDIUM,MEDIUM,1,True,
