Lap,TotalLaps,Stint,Compound,TyreAge,PitProb,PitPred,PitThisLap,IsFinalLaps,IsLastStint,CompPred,CompActual,UnderCaution,DataAvailable,MissingReason
1,70,1,MEDIUM,1,,0,0,False,False,,,0,False,No data
2,70,1,MEDIUM,2,0.6056762337684631,0,0,False,False,,,0,True,
3,70,1,MEDIUM,3,0.0836026519536972,0,0,False,False,,,0,True,
4,70,1,MEDIUM,4,0.14839479327201843,0,0,False,False,,,0,True,
5,70,1,MEDIUM,5,0.0899735689163208,0,0,False,False,,,0,True,
6,70,1,MEDIUM,6,0.021466899663209915,0,0,False,False,,,0,True,
7,70,1,MEDIUM,7,0.051555171608924866,0,0,False,False,,,0,True,
8,70,1,MEDIUM,8,0.04582648724317551,0,0,False,False,,,0,True,
9,70,1,MEDIUM,9,0.041760098189115524,0,0,False,False,,,0,True,
10,70,1,MEDIUM,10,0.03059016540646553,0,0,False,False,,,0,True,
11,70,1,MEDIUM,11,0.03557154908776283,0,0,False,False,,,0,True,
12,70,1,MEDIUM,12,0.03540458157658577,0,0,False,False,,,0,True,
13,70,1,MEDIUM,13,0.06030851975083351,0,0,False,False,,,0,True,
14,70,1,MEDIUM,14,0.06975407153367996,0,0,False,False,,,0,True,
15,70,1,MEDIUM,15,0.08740736544132233,0,0,False,False,,,0,True,
16,70,1,MEDIUM,16,0.13111360371112823,0,0,False,False,,,0,True,
17,70,1,MEDIUM,17,0.13318075239658356,0,0,False,False,,,0,True,
18,70,1,MEDIUM,18,0.1387377381324768,0,0,False,False,,,0,True,
19,70,1,MEDIUM,19,0.11113698780536652,0,0,False,False,,,0,True,
20,70,1,MEDIUM,20,0.1131957620382309,0,0,False,False,,,0,True,
21,70,1,MEDIUM,21,0.15571771562099457,0,0,False,False,,,0,True,
22,70,1,MEDIUM,22,0.2442995011806488,0,0,False,False,,,0,True,
23,70,1,MEDIUM,23,0.23431327939033508,0,0,False,False,,,0,True,
24,70,1,MEDIUM,24,0.22715619206428528,0,0,False,False,,,0,True,
25,70,1,MEDIUM,25,0.1738671511411667,0,0,False,False,,,0,True,
26,70,1,MEDIUM,26,0.2419123500585556,0,0,False,False,,,0,True,
27,70,1,MEDIUM,27,0.24641118943691254,0,0,False,False,,,0,True,
28,70,1,MEDIUM,28,0.24299660325050354,0,0,False,False,,,0,True,
29,70,1,MEDIUM,29,0.3095173239707947,0,0,False,False,,,0,True,
30,70,1,MEDIUM,30,0.3573288917541504,0,0,False,False,,,0,True,
31,70,1,MEDIUM,31,0.6178876161575317,0,0,False,False,,,0,True,
32,70,1,MEDIUM,32,0.8007327318191528,1,0,False,False,,,0,True,
33,70,2,HARD,1,,0,1,False,True,HARD,HARD,0,False,Pit/Outlap
34,70,2,HARD,2,,0,0,False,True,,,0,False,No data
35,70,2,HARD,2,0.6056762337684631,0,0,False,True,,,0,True,
36,70,2,HARD,3,0.16183914244174957,0,0,False,True,,,0,True,
37,70,2,HARD,4,0.04140574857592583,0,0,False,True,,,0,True,
38,70,2,HARD,5,0.027209678664803505,0,0,False,True,,,0,True,
39,70,2,HARD,6,0.01761428825557232,0,0,False,True,,,0,True,
40,70,2,HARD,7,0.18930770456790924,0,0,False,True,,,0,True,
41,70,2,HARD,8,0.23753845691680908,0,0,False,True,,,0,True,
42,70,2,HARD,9,0.13743215799331665,0,0,False,True,,,0,True,
43,70,2,HARD,10,0.12063904851675034,0,0,False,True,,,0,True,
44,70,2,HARD,11,0.12167111784219742,0,0,False,True,,,0,True,
45,70,2,HARD,12,0.16113774478435516,0,0,False,True,,,0,True,
46,70,2,HARD,13,0.1226024478673935,0,0,False,True,,,0,True,
47,70,2,HARD,14,0.0818113312125206,0,0,False,True,,,0,True,
48,70,2,HARD,15,0.1096767708659172,0,0,False,True,,,0,True,
49,70,2,HARD,16,0.14820624887943268,0,0,False,True,,,0,True,
50,70,2,HARD,17,0.005596586968749762,0,0,False,True,,,0,True,
51,70,2,HARD,18,0.03368889167904854,0,0,False,True,,,0,True,
52,70,2,HARD,19,0.013014382682740688,0,0,False,True,,,0,True,
53,70,2,HARD,20,0.018827222287654877,0,0,False,True,,,0,True,
54,70,2,HARD,21,0.007968020625412464,0,0,False,True,,,0,True,
55,70,2,HARD,22,0.027168918401002884,0,0,False,True,,,0,True,
56,70,2,HARD,23,0.020670853555202484,0,0,False,True,,,0,True,
57,70,2,HARD,24,0.02654772810637951,0,0,False,True,,,0,True,
58,70,2,HARD,25,0.02601979672908783,0,0,False,True,,,0,True,
59,70,2,HARD,26,0.009911563247442245,0,0,False,True,,,0,True,
60,70,2,HARD,27,0.018481161445379257,0,0,False,True,,,0,True,
61,70,2,HARD,28,0.01636633835732937,0,0,False,True,,,0,True,
62,70,2,HARD,29,0.023850465193390846,0,0,False,True,,,0,True,
63,70,2,HARD,30,0.04459622874855995,0,0,False,True,,,0,True,
66,70,2,HARD,33,0.12460289895534515,0,0,False,True,,,1,True,
67,70,2,HARD,34,0.6142928004264832,0,0,False,True,,,0,True,
68,70,2,HARD,35,0.6774654984474182,1,0,True,True,,,0,True,
69,70,2,HARD,36,0.8360607624053955,1,0,True,True,,,0,True,
70,70,2,HARD,37,0.9935026168823242,1,0,True,True,,,1,True,
