Lap,TotalLaps,Stint,Compound,TyreAge,PitProb,PitPred,PitThisLap,IsFinalLaps,IsLastStint,CompPred,CompActual,UnderCaution,DataAvailable,MissingReason
1,56,1,MEDIUM,1,,0,0,False,False,,,0,False,No data
2,56,1,MEDIUM,2,0.6056762337684631,0,0,False,False,,,0,True,
3,56,1,MEDIUM,3,0.1604047417640686,0,0,False,False,,,0,True,
4,56,1,MEDIUM,4,0.23023617267608643,0,0,False,False,,,0,True,
5,56,1,MEDIUM,5,0.5491887927055359,0,0,False,False,,,0,True,
6,56,1,MEDIUM,6,0.6571242213249207,0,0,False,False,,,0,True,
7,56,1,MEDIUM,7,0.666914165019989,1,0,False,False,,,0,True,
8,56,1,MEDIUM,8,0.6371410489082336,0,0,False,False,,,0,True,
9,56,1,MEDIUM,9,0.6679576635360718,1,0,False,False,,,0,True,
10,56,1,MEDIUM,10,0.6242544054985046,0,0,False,False,,,0,True,
11,56,1,MEDIUM,11,0.5779570937156677,0,0,False,False,,,0,True,
12,56,1,MEDIUM,12,0.6246877312660217,0,0,False,False,,,0,True,
13,56,1,MEDIUM,13,0.7404804825782776,1,0,False,False,,,0,True,
14,56,1,MEDIUM,14,0.8714420795440674,1,0,False,False,,,0,True,
15,56,1,MEDIUM,15,0.7837418913841248,1,0,False,False,,,0,True,
16,56,1,MEDIUM,16,0.8737865090370178,1,0,False,False,,,0,True,
17,56,2,HARD,1,,0,1,False,True,HARD,HARD,0,False,Pit/Outlap
18,56,2,HARD,2,,0,0,False,True,,,0,False,No data
19,56,2,HARD,2,0.6056762337684631,0,0,False,True,,,0,True,
20,56,2,HARD,3,0.12447918206453323,0,0,False,True,,,0,True,
21,56,2,HARD,4,0.008072500117123127,0,0,False,True,,,0,True,
22,56,2,HARD,5,0.006581772584468126,0,0,False,True,,,0,True,
23,56,2,HARD,6,0.004308587871491909,0,0,False,True,,,0,True,
24,56,2,HARD,7,0.0032101187389343977,0,0,False,True,,,0,True,
25,56,2,HARD,8,0.002389032393693924,0,0,False,True,,,0,True,
26,56,2,HARD,9,0.0022588036954402924,0,0,False,True,,,0,True,
27,56,2,HARD,10,0.002128003630787134,0,0,False,True,,,0,True,
28,56,2,HARD,11,0.0019793002866208553,0,0,False,True,,,0,True,
29,56,2,HARD,12,0.0015976628055796027,0,0,False,True,,,0,True,
30,56,2,HARD,13,0.0017047232249751687,0,0,False,True,,,0,True,
31,56,2,HARD,14,0.0018979025771841407,0,0,False,True,,,0,True,
32,56,2,HARD,15,0.0017734430730342865,0,0,False,True,,,0,True,
33,56,2,HARD,16,0.0020794877782464027,0,0,False,True,,,0,True,
34,56,2,HARD,17,0.004934757947921753,0,0,False,True,,,0,True,
35,56,2,HARD,18,0.11807631701231003,0,0,False,True,,,0,True,
36,56,2,HARD,19,0.024618452414870262,0,0,False,True,,,0,True,
37,56,2,HARD,20,0.007126383017748594,0,0,False,True,,,0,True,
38,56,2,HARD,21,0.0053400336764752865,0,0,False,True,,,0,True,
39,56,2,HARD,22,0.005815698299556971,0,0,False,True,,,0,True,
40,56,2,HARD,23,0.02041730470955372,0,0,False,True,,,0,True,
41,56,2,HARD,24,0.026935983449220657,0,0,False,True,,,0,True,
42,56,2,HARD,25,0.004876364022493362,0,0,False,True,,,0,True,
43,56,2,HARD,26,0.0051672188565135,0,0,False,True,,,0,True,
44,56,2,HARD,27,0.004399976693093777,0,0,False,True,,,0,True,
45,56,2,HARD,28,0.005455604288727045,0,0,False,True,,,0,True,
46,56,2,HARD,29,0.004777053836733103,0,0,False,True,,,0,True,
47,56,2,HARD,30,0.011324970982968807,0,0,False,True,,,0,True,
48,56,2,HARD,31,0.01187497191131115,0,0,False,True,,,0,True,
49,56,2,HARD,32,0.013367745094001293,0,0,False,True,,,0,True,
50,56,2,HARD,33,0.03898600861430168,0,0,False,True,,,0,True,
51,56,2,HARD,34,0.21883508563041687,0,0,False,True,,,0,True,
52,56,2,HARD,35,0.45389240980148315,0,0,False,True,,,0,True,
53,56,2,HARD,36,0.8822793960571289,1,0,False,True,,,0,True,
54,56,2,HARD,37,0.9445332884788513,1,0,True,True,,,0,True,
55,56,2,HARD,38,0.9840951561927795,1,0,True,True,,,0,True,
56,56,2,HARD,39,0.9985708594322205,1,0,True,True,,,0,True,
